person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_group,loan_amount_group
21.0,9600.0,OWN,5.0,EDUCATION,B,1000.0,11.14,0.0,0.1,N,2.0,20-25,low,small
25.0,9600.0,MORTGAGE,1.0,MEDICAL,C,5500.0,12.87,1.0,0.57,N,3.0,20-25,low,medium
23.0,65500.0,RENT,4.0,MEDICAL,C,35000.0,15.23,1.0,0.53,N,2.0,20-25,middle,very large
24.0,54400.0,RENT,8.0,MEDICAL,C,35000.0,14.27,1.0,0.55,Y,4.0,20-25,middle,very large
21.0,9900.0,OWN,2.0,VENTURE,A,2500.0,7.14,1.0,0.25,N,2.0,20-25,low,small
26.0,77100.0,RENT,8.0,EDUCATION,B,35000.0,12.42,0.0,0.45,N,3.0,20-25,high-middle,very large
24.0,78956.0,RENT,5.0,MEDICAL,B,35000.0,11.11,0.0,0.44,N,4.0,20-25,high-middle,very large
24.0,83000.0,RENT,8.0,PERSONAL,A,35000.0,8.9,0.0,0.42,N,2.0,20-25,high-middle,very large
21.0,10000.0,OWN,6.0,VENTURE,D,1600.0,14.74,1.0,0.16,N,3.0,20-25,low,small
22.0,85000.0,RENT,6.0,VENTURE,B,35000.0,10.37,0.0,0.41,N,4.0,20-25,high-middle,very large
21.0,10000.0,OWN,2.0,HOMEIMPROVEMENT,A,4500.0,8.63,1.0,0.45,N,2.0,20-25,low,small
23.0,95000.0,RENT,2.0,VENTURE,A,35000.0,7.9,1.0,0.37,N,2.0,20-25,high-middle,very large
26.0,108160.0,RENT,4.0,EDUCATION,E,35000.0,18.39,0.0,0.32,N,4.0,20-25,high,very large
23.0,115000.0,RENT,2.0,EDUCATION,A,35000.0,7.9,0.0,0.3,N,4.0,20-25,high,very large
23.0,500000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000.0,10.65,0.0,0.06,N,3.0,20-25,high,very large
23.0,120000.0,RENT,0.0,EDUCATION,A,35000.0,7.9,0.0,0.29,N,4.0,20-25,high,very large
23.0,92111.0,RENT,7.0,MEDICAL,F,35000.0,20.25,1.0,0.32,N,4.0,20-25,high-middle,very large
