person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_group,loan_amount_group
21,9600.0,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,20-25,low,small
25,9600.0,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,20-25,low,medium
23,65500.0,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,20-25,middle,very large
24,54400.0,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,20-25,middle,very large
21,9900.0,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,20-25,low,small
26,77100.0,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,20-25,high-middle,very large
24,78956.0,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,20-25,high-middle,very large
24,83000.0,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,20-25,high-middle,very large
21,10000.0,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,20-25,low,small
22,85000.0,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,20-25,high-middle,very large
21,10000.0,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,20-25,low,small
23,,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,20-25,high-middle,very large
26,108160.0,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,20-25,high,very large
23,115000.0,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,20-25,high,very large
23,,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,20-25,high,very large
23,120000.0,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,20-25,high,very large
23,92111.0,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,20-25,high-middle,very large
23,,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,20-25,high,very large
24,10800.0,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,20-25,low,small
25,,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,20-25,high,very large
25,137000.0,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,20-25,high,very large
22,,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,20-25,middle,very large
24,,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,20-25,low,small
22,80000.0,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,20-25,high-middle,very large
24,67746.0,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,20-25,middle,very large
21,,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,20-25,low,small
23,11000.0,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,20-25,low,small
24,65000.0,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,20-25,middle,very large
21,11389.0,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,20-25,low,small
21,11520.0,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,20-25,low,small
25,120000.0,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,20-25,high,very large
26,,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,20-25,high-middle,very large
25,306000.0,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,20-25,high,very large
