person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_group,loan_amount_group
21,3188681,OWN,5,EDUCATION,B,1000,11.14,0,0.1,N,2,SMALLYOUNG,low,small
25,2053885,MORTGAGE,1,MEDICAL,C,5500,12.87,1,0.57,N,3,SMALLYOUNG,low,medium
23,65500,RENT,4,MEDICAL,C,35000,15.23,1,0.53,N,2,SMALLYOUNG,middle,very large
24,54400,RENT,8,MEDICAL,C,35000,14.27,1,0.55,Y,4,SMALLYOUNG,middle,very large
21,9900,OWN,2,VENTURE,A,2500,7.14,1,0.25,N,2,SMALLYOUNG,low,small
26,4590263,RENT,8,EDUCATION,B,35000,12.42,1,0.45,N,3,SMALLYOUNG,highmiddle,very large
24,1445694,RENT,5,MEDICAL,B,35000,11.11,1,0.44,N,4,SMALLYOUNG,highmiddle,very large
24,83000,RENT,8,PERSONAL,A,35000,8.9,1,0.42,N,2,SMALLYOUNG,highmiddle,very large
21,10000,OWN,6,VENTURE,D,1600,14.74,1,0.16,N,3,SMALLYOUNG,low,small
22,85000,RENT,6,VENTURE,B,35000,10.37,1,0.41,N,4,SMALLYOUNG,highmiddle,very large
21,660629,OWN,2,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,SMALLYOUNG,low,small
23,95000,RENT,2,VENTURE,A,35000,7.9,1,0.37,N,2,SMALLYOUNG,highmiddle,very large
26,108160,RENT,4,EDUCATION,E,35000,18.39,1,0.32,N,4,SMALLYOUNG,high,very large
23,5699883,RENT,2,EDUCATION,A,35000,7.9,0,0.3,N,4,SMALLYOUNG,high,very large
23,500000,MORTGAGE,7,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,SMALLYOUNG,high,very large
23,120000,RENT,0,EDUCATION,A,35000,7.9,0,0.29,N,4,SMALLYOUNG,high,very large
23,92111,RENT,7,MEDICAL,F,35000,20.25,1,0.32,N,4,SMALLYOUNG,highmiddle,very large
23,4146416,RENT,8,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,SMALLYOUNG,high,very large
24,10800,MORTGAGE,8,EDUCATION,B,1750,10.99,1,0.16,N,2,SMALLYOUNG,low,small
25,1643778,RENT,2,VENTURE,A,35000,7.49,0,0.22,N,4,SMALLYOUNG,high,very large
25,137000,RENT,9,PERSONAL,E,34800,16.77,0,0.25,Y,2,SMALLYOUNG,high,very large
22,4912755,RENT,4,EDUCATION,D,34000,17.58,1,0.52,N,4,SMALLYOUNG,middle,very large
24,1127579,OWN,0,PERSONAL,A,1500,7.29,0,0.14,N,3,SMALLYOUNG,low,small
22,80000,RENT,3,PERSONAL,D,33950,14.54,1,0.42,Y,4,SMALLYOUNG,highmiddle,very large
24,5654222,RENT,8,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,SMALLYOUNG,middle,very large
21,11000,MORTGAGE,3,VENTURE,E,4575,17.74,1,0.42,Y,3,SMALLYOUNG,low,small
23,11000,OWN,0,PERSONAL,A,1400,9.32,0,0.13,N,3,SMALLYOUNG,low,small
24,4012293,RENT,6,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,SMALLYOUNG,middle,very large
21,11389,OTHER,5,EDUCATION,C,4000,12.84,1,0.35,Y,2,SMALLYOUNG,low,small
21,11520,OWN,5,MEDICAL,B,2000,11.12,1,0.17,N,3,SMALLYOUNG,low,small
25,120000,RENT,2,VENTURE,A,32000,6.62,0,0.27,N,2,SMALLYOUNG,high,very large
26,95000,RENT,7,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,SMALLYOUNG,highmiddle,very large
25,4293892,RENT,2,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,SMALLYOUNG,high,very large
26,2999345,MORTGAGE,10,MEDICAL,C,7800,13.49,0,0.03,N,4,SMALLYOUNG,high,medium
21,12000,OWN,5,EDUCATION,A,2500,7.51,1,0.21,N,4,SMALLYOUNG,low,small
22,2661005,RENT,1,EDUCATION,E,30000,18.39,1,0.63,N,2,SMALLYOUNG,lowmiddle,very large
24,64000,RENT,8,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,SMALLYOUNG,middle,very large
25,75000,RENT,4,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,SMALLYOUNG,middle,very large
26,2465323,RENT,6,MEDICAL,E,30000,17.99,1,0.41,N,2,SMALLYOUNG,middle,very large
24,12000,OWN,4,VENTURE,B,2500,12.69,1,0.21,N,3,SMALLYOUNG,low,small
26,300000,MORTGAGE,10,VENTURE,A,20000,7.88,0,0.07,N,4,SMALLYOUNG,high,very large
23,3335636,OWN,1,EDUCATION,F,24250,19.41,0,0.08,Y,2,SMALLYOUNG,high,very large
26,300000,OWN,9,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,SMALLYOUNG,high,medium
26,300000,MORTGAGE,0,EDUCATION,D,25000,15.33,0,0.08,N,3,SMALLYOUNG,high,very large
25,300000,MORTGAGE,9,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,SMALLYOUNG,high,very large
26,80690,RENT,8,PERSONAL,A,30000,7.49,1,0.37,N,3,SMALLYOUNG,highmiddle,very large
22,66300,RENT,4,MEDICAL,B,30000,12.69,1,0.38,N,3,SMALLYOUNG,middle,very large
26,2176658,RENT,0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,SMALLYOUNG,highmiddle,very large
23,442611,RENT,7,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,SMALLYOUNG,highmiddle,very large
23,5500579,RENT,6,PERSONAL,C,30000,15.23,1,0.33,Y,3,SMALLYOUNG,highmiddle,very large
23,3190285,RENT,7,VENTURE,B,30000,10.65,1,0.31,N,2,SMALLYOUNG,highmiddle,very large
25,120000,RENT,9,EDUCATION,A,30000,7.9,0,0.25,N,4,SMALLYOUNG,high,very large
26,5632167,RENT,4,PERSONAL,C,10000,15.96,0,0.04,Y,3,SMALLYOUNG,high,medium
26,5332583,RENT,0,VENTURE,B,20000,11.48,0,0.07,N,3,SMALLYOUNG,high,very large
25,5855963,RENT,9,PERSONAL,A,30000,7.29,0,0.23,N,4,SMALLYOUNG,high,very large
21,1999244,RENT,0,VENTURE,A,30000,5.99,0,0.23,N,4,SMALLYOUNG,high,very large
22,275000,OWN,6,VENTURE,B,12000,11.58,0,0.04,N,2,SMALLYOUNG,high,large
25,221850,MORTGAGE,9,MEDICAL,D,25000,15.7,1,0.1,N,2,SMALLYOUNG,high,very large
22,3787226,RENT,6,EDUCATION,D,29100,15.99,1,0.42,N,3,SMALLYOUNG,middle,very large
22,12000,MORTGAGE,7,EDUCATION,D,1500,14.84,0,0.13,Y,3,SMALLYOUNG,low,small
26,369633,OWN,10,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,SMALLYOUNG,high,very large
25,4106619,MORTGAGE,9,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,SMALLYOUNG,high,very large
24,4364127,MORTGAGE,9,EDUCATION,A,9600,6.99,0,0.04,N,2,SMALLYOUNG,high,medium
25,250000,RENT,2,MEDICAL,C,25000,13.49,0,0.1,N,4,SMALLYOUNG,high,very large
21,12000,OWN,6,EDUCATION,C,3000,13.61,1,0.25,Y,3,SMALLYOUNG,low,small
23,206223,RENT,2,EDUCATION,A,28000,7.9,1,0.43,N,2,SMALLYOUNG,middle,very large
26,85000,RENT,2,VENTURE,A,28000,7.49,1,0.33,N,3,SMALLYOUNG,highmiddle,very large
26,1362497,OWN,2,EDUCATION,A,6100,7.51,1,0.51,N,3,SMALLYOUNG,low,medium
22,88000,RENT,6,VENTURE,B,28000,9.91,1,0.32,N,3,SMALLYOUNG,highmiddle,very large
21,3994183,OWN,0,PERSONAL,C,4200,13.48,1,0.35,Y,4,SMALLYOUNG,low,small
22,12000,OWN,6,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,SMALLYOUNG,low,small
24,83004,RENT,0,VENTURE,D,28000,15.99,1,0.34,Y,4,SMALLYOUNG,highmiddle,very large
24,250000,RENT,2,EDUCATION,C,18000,12.98,0,0.07,Y,3,SMALLYOUNG,high,very large
144,250000,RENT,4,VENTURE,C,4800,13.57,0,0.02,N,3,,high,small
25,2633807,RENT,5,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,SMALLYOUNG,highmiddle,very large
26,110000,RENT,10,EDUCATION,A,28000,8.9,0,0.25,N,2,SMALLYOUNG,high,very large
23,151200,RENT,7,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,SMALLYOUNG,high,very large
21,12000,MORTGAGE,5,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,SMALLYOUNG,low,small
22,70000,RENT,4,EDUCATION,C,27500,13.06,1,0.39,Y,3,SMALLYOUNG,middle,very large
26,3594599,RENT,5,VENTURE,D,27050,15.62,1,0.37,Y,2,SMALLYOUNG,middle,very large
24,83000,RENT,5,PERSONAL,C,27000,13.49,1,0.33,Y,2,SMALLYOUNG,highmiddle,very large
23,1760011,RENT,7,MEDICAL,B,26000,11.71,1,0.42,N,2,SMALLYOUNG,middle,very large
23,120000,RENT,1,EDUCATION,B,25600,12.69,0,0.21,N,3,SMALLYOUNG,high,very large
24,12360,OWN,2,MEDICAL,C,1600,13.57,0,0.13,N,3,SMALLYOUNG,low,small
22,1212177,RENT,0,VENTURE,B,25475,10.99,1,0.42,N,3,SMALLYOUNG,middle,very large
25,234000,MORTGAGE,3,MEDICAL,C,20000,14.27,0,0.09,Y,4,SMALLYOUNG,high,very large
24,234000,OWN,8,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,SMALLYOUNG,high,very large
26,5911958,MORTGAGE,10,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,SMALLYOUNG,high,very large
25,202772,MORTGAGE,6,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,SMALLYOUNG,high,large
26,3115388,MORTGAGE,0,MEDICAL,C,25000,14.17,0,0.11,Y,2,SMALLYOUNG,high,very large
25,592393,MORTGAGE,5,MEDICAL,C,35000,13.99,0,0.15,N,4,SMALLYOUNG,high,very large
23,53115,RENT,7,EDUCATION,B,25300,10.99,1,0.3,N,3,SMALLYOUNG,highmiddle,very large
25,3673674,OWN,3,PERSONAL,C,1750,13.61,0,0.14,N,3,SMALLYOUNG,low,small
21,1148796,RENT,3,EDUCATION,C,25000,12.73,1,0.59,Y,3,SMALLYOUNG,lowmiddle,very large
25,869288,OWN,0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,SMALLYOUNG,low,small
24,12960,MORTGAGE,1,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,SMALLYOUNG,low,small
26,1111858,MORTGAGE,4,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,SMALLYOUNG,high,very large
25,5402698,MORTGAGE,0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,SMALLYOUNG,high,very large
26,1449239,MORTGAGE,6,EDUCATION,B,35000,10.65,1,0.16,N,2,SMALLYOUNG,high,very large
24,313350,MORTGAGE,0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,SMALLYOUNG,low,small
23,12996,OWN,0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,SMALLYOUNG,low,small
22,42000,RENT,6,MEDICAL,D,25000,14.59,1,0.6,Y,2,SMALLYOUNG,lowmiddle,very large
26,48000,RENT,2,EDUCATION,B,25000,9.64,1,0.52,N,4,SMALLYOUNG,lowmiddle,very large
25,12996,OWN,1,MEDICAL,D,3600,14.59,1,0.28,N,3,SMALLYOUNG,low,small
25,42360,RENT,1,EDUCATION,E,25000,16.35,1,0.59,Y,3,SMALLYOUNG,lowmiddle,very large
21,49000,RENT,4,EDUCATION,B,25000,10.99,1,0.51,N,2,SMALLYOUNG,lowmiddle,very large
25,902124,MORTGAGE,0,VENTURE,F,25000,18.67,0,0.11,N,2,SMALLYOUNG,high,very large
26,3730200,RENT,1,EDUCATION,A,3000,9.32,0,0.01,N,4,SMALLYOUNG,high,small
23,225000,RENT,8,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,SMALLYOUNG,high,medium
