Dataset,ErrorType,Feature,Percentage,Model,Accuracy,Precision,Recall,F1_Score
label_03_loan_status,label,loan_status,30,lda,0.8566,0.7223,0.5489,0.6237
label_03_loan_status,label,loan_status,30,lr,0.7693,0.4768,0.6716,0.5577
label_03_loan_status,label,loan_status,30,et,0.8366,0.6421,0.5543,0.595
label_03_loan_status,label,loan_status,30,rf,0.7802,0.4942,0.6232,0.5512
label_03_loan_status,label,loan_status,30,knn,0.7303,0.4088,0.5493,0.4687
label_03_loan_status,label,loan_status,30,mlp,0.6825,0.3696,0.6603,0.4739
label_03_loan_status,label,loan_status,30,nb,0.7837,0.8,0.0019,0.0039
label_03_loan_status,label,loan_status,30,dt,0.2573,0.2247,0.991,0.3663
label_03_loan_status,label,loan_status,30,svm,0.7833,0.25,0.0002,0.0003
label_05_loan_status,label,loan_status,50,lda,0.4164,0.1647,0.4162,0.236
label_05_loan_status,label,loan_status,50,lr,0.7836,1.0,0.0006,0.0013
label_05_loan_status,label,loan_status,50,et,0.7834,0.0,0.0,0.0
label_05_loan_status,label,loan_status,50,rf,0.4884,0.1591,0.3178,0.212
label_05_loan_status,label,loan_status,50,knn,0.5079,0.2132,0.4728,0.2938
label_05_loan_status,label,loan_status,50,mlp,0.4965,0.2122,0.4886,0.2959
label_05_loan_status,label,loan_status,50,nb,0.5014,0.2155,0.4931,0.2999
label_05_loan_status,label,loan_status,50,dt,0.3243,0.1407,0.415,0.2101
label_05_loan_status,label,loan_status,50,svm,0.7832,0.1429,0.0002,0.0003
