Dataset,ErrorType,Feature,Percentage,Model,Accuracy,Precision,Recall,F1_Score
missing_03_age_group,missing,age_group,30,lda,0.9572,0.9876,0.8123,0.8914
missing_03_age_group,missing,age_group,30,lr,0.942,0.9773,0.7496,0.8484
missing_03_age_group,missing,age_group,30,et,0.9626,0.9091,0.9194,0.9142
missing_03_age_group,missing,age_group,30,rf,0.8674,0.7242,0.6262,0.6717
missing_03_age_group,missing,age_group,30,knn,0.8485,0.6614,0.6154,0.6376
missing_03_age_group,missing,age_group,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_age_group,missing,age_group,30,nb,0.82,0.7065,0.2888,0.41
missing_03_age_group,missing,age_group,30,dt,0.8503,0.7171,0.5097,0.5959
missing_03_age_group,missing,age_group,30,svm,0.5851,0.3087,0.7388,0.4354
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,lda,0.9534,0.9864,0.7959,0.881
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,lr,0.9449,0.9771,0.7633,0.8571
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,et,0.9532,0.8784,0.9097,0.8938
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,rf,0.8677,0.7229,0.6309,0.6738
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,knn,0.8436,0.639,0.6383,0.6387
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,nb,0.8197,0.7027,0.2901,0.4106
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,dt,0.8324,0.7106,0.3817,0.4966
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,svm,0.7,0.4048,0.8194,0.5419
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,lda,0.9557,0.9872,0.8057,0.8873
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,lr,0.9426,0.974,0.7552,0.8508
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,et,0.9599,0.9026,0.9134,0.908
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,rf,0.8671,0.7218,0.6287,0.672
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,knn,0.8437,0.6316,0.6677,0.6492
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,nb,0.8199,0.7066,0.2885,0.4097
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,dt,0.7818,0.4973,0.6572,0.5662
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,svm,0.3294,0.2362,0.9387,0.3775
missing_03_income_group,missing,income_group,30,lda,0.9555,0.9891,0.8033,0.8866
missing_03_income_group,missing,income_group,30,lr,0.9397,0.9721,0.7427,0.842
missing_03_income_group,missing,income_group,30,et,0.9594,0.8996,0.9147,0.9071
missing_03_income_group,missing,income_group,30,rf,0.8656,0.7226,0.6156,0.6648
missing_03_income_group,missing,income_group,30,knn,0.8477,0.6596,0.6135,0.6357
missing_03_income_group,missing,income_group,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_income_group,missing,income_group,30,nb,0.8198,0.7051,0.2891,0.4101
missing_03_income_group,missing,income_group,30,dt,0.4458,0.2756,0.9568,0.4279
missing_03_income_group,missing,income_group,30,svm,0.5851,0.3087,0.7388,0.4354
missing_03_loan_amnt,missing,loan_amnt,30,lda,0.9533,0.9876,0.7943,0.8804
missing_03_loan_amnt,missing,loan_amnt,30,lr,0.9404,0.9751,0.744,0.844
missing_03_loan_amnt,missing,loan_amnt,30,et,0.9544,0.8839,0.9087,0.8962
missing_03_loan_amnt,missing,loan_amnt,30,rf,0.8659,0.7246,0.6146,0.6651
