Dataset,ErrorType,Feature,Percentage,Model,Accuracy,Precision,Recall,F1_Score
noise_03_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,30,lda,0.9731,0.991,0.8839,0.9344
noise_03_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,30,lr,0.9736,0.9765,0.8995,0.9365
noise_03_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,30,et,0.9586,0.9014,0.9083,0.9048
noise_03_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,30,rf,0.8656,0.7315,0.5995,0.6589
noise_03_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,30,knn,0.8533,0.7441,0.4915,0.592
noise_03_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,30,mlp,0.8531,0.6545,0.6817,0.6678
noise_03_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,30,nb,0.8206,0.7042,0.2964,0.4172
noise_03_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,30,dt,0.835,0.788,0.326,0.4612
noise_03_cb_person_cred_hist_length,noise,cb_person_cred_hist_length,30,svm,0.3902,0.2491,0.9013,0.3903
noise_03_cb_person_default_on_file,noise,cb_person_default_on_file,30,lda,0.974,0.9894,0.8894,0.9367
noise_03_cb_person_default_on_file,noise,cb_person_default_on_file,30,lr,0.9718,0.9784,0.8894,0.9318
noise_03_cb_person_default_on_file,noise,cb_person_default_on_file,30,et,0.9635,0.9086,0.9244,0.9164
noise_03_cb_person_default_on_file,noise,cb_person_default_on_file,30,rf,0.8659,0.731,0.6029,0.6608
noise_03_cb_person_default_on_file,noise,cb_person_default_on_file,30,knn,0.85,0.7389,0.4758,0.5789
noise_03_cb_person_default_on_file,noise,cb_person_default_on_file,30,mlp,0.855,0.6609,0.6787,0.6696
noise_03_cb_person_default_on_file,noise,cb_person_default_on_file,30,nb,0.8205,0.7025,0.297,0.4175
noise_03_cb_person_default_on_file,noise,cb_person_default_on_file,30,dt,0.2236,0.2179,0.9987,0.3578
noise_03_cb_person_default_on_file,noise,cb_person_default_on_file,30,svm,0.344,0.2391,0.9297,0.3804
noise_03_income_group,noise,income_group,30,lda,0.9704,0.9901,0.8718,0.9272
noise_03_income_group,noise,income_group,30,lr,0.9624,0.9694,0.8533,0.9076
noise_03_income_group,noise,income_group,30,et,0.9605,0.9081,0.9099,0.909
noise_03_income_group,noise,income_group,30,rf,0.8668,0.7444,0.5866,0.6561
noise_03_income_group,noise,income_group,30,knn,0.8522,0.7619,0.4618,0.575
noise_03_income_group,noise,income_group,30,mlp,0.8582,0.6895,0.6283,0.6575
noise_03_income_group,noise,income_group,30,nb,0.8198,0.7001,0.2939,0.414
noise_03_income_group,noise,income_group,30,dt,0.5851,0.3087,0.7388,0.4354
noise_03_income_group,noise,income_group,30,svm,0.8351,0.6152,0.6372,0.626
noise_03_loan_amnt,noise,loan_amnt,30,lda,0.9714,0.9911,0.8757,0.9298
noise_03_loan_amnt,noise,loan_amnt,30,lr,0.9713,0.9731,0.8923,0.9309
noise_03_loan_amnt,noise,loan_amnt,30,et,0.9573,0.9011,0.9016,0.9014
noise_03_loan_amnt,noise,loan_amnt,30,rf,0.8645,0.7279,0.5977,0.6564
noise_03_loan_amnt,noise,loan_amnt,30,knn,0.8525,0.7288,0.5082,0.5988
noise_03_loan_amnt,noise,loan_amnt,30,mlp,0.853,0.6572,0.6719,0.6644
noise_03_loan_amnt,noise,loan_amnt,30,nb,0.8197,0.7325,0.2636,0.3877
noise_03_loan_amnt,noise,loan_amnt,30,dt,0.5769,0.3062,0.7531,0.4353
noise_03_loan_amnt,noise,loan_amnt,30,svm,0.8107,0.9353,0.1353,0.2364
noise_03_loan_amount_group,noise,loan_amount_group,30,lda,0.9722,0.9909,0.8799,0.9321
noise_03_loan_amount_group,noise,loan_amount_group,30,lr,0.964,0.9678,0.8626,0.9122
noise_03_loan_amount_group,noise,loan_amount_group,30,et,0.9597,0.9,0.9155,0.9077
noise_03_loan_amount_group,noise,loan_amount_group,30,rf,0.8645,0.7254,0.6024,0.6582
