Dataset,ErrorType,Feature,Percentage,Model,Accuracy,Precision,Recall,F1_Score
outlier_03_cb_person_cred_hist_length,outlier,cb_person_cred_hist_length,30,lda,0.972,0.9906,0.8789,0.9314
outlier_03_cb_person_cred_hist_length,outlier,cb_person_cred_hist_length,30,lr,0.9738,0.9781,0.8991,0.9369
outlier_03_cb_person_cred_hist_length,outlier,cb_person_cred_hist_length,30,et,0.9605,0.9109,0.9065,0.9087
outlier_03_cb_person_cred_hist_length,outlier,cb_person_cred_hist_length,30,rf,0.8657,0.7306,0.6017,0.6599
outlier_03_cb_person_cred_hist_length,outlier,cb_person_cred_hist_length,30,knn,0.8513,0.7365,0.4881,0.5871
outlier_03_cb_person_cred_hist_length,outlier,cb_person_cred_hist_length,30,mlp,0.8528,0.6542,0.6793,0.6665
outlier_03_cb_person_cred_hist_length,outlier,cb_person_cred_hist_length,30,nb,0.8206,0.7062,0.2938,0.4149
outlier_03_cb_person_cred_hist_length,outlier,cb_person_cred_hist_length,30,dt,0.8172,0.9013,0.1753,0.2935
outlier_03_cb_person_cred_hist_length,outlier,cb_person_cred_hist_length,30,svm,0.8302,0.6849,0.4002,0.5052
outlier_03_cb_person_default_on_file,outlier,cb_person_default_on_file,30,lda,0.9707,0.9889,0.8744,0.9281
outlier_03_cb_person_default_on_file,outlier,cb_person_default_on_file,30,lr,0.9647,0.9689,0.8647,0.9139
outlier_03_cb_person_default_on_file,outlier,cb_person_default_on_file,30,et,0.9618,0.9059,0.9189,0.9124
outlier_03_cb_person_default_on_file,outlier,cb_person_default_on_file,30,rf,0.8653,0.7288,0.6022,0.6595
outlier_03_cb_person_default_on_file,outlier,cb_person_default_on_file,30,knn,0.8546,0.7447,0.5,0.5983
outlier_03_cb_person_default_on_file,outlier,cb_person_default_on_file,30,mlp,0.8526,0.6471,0.7027,0.6737
outlier_03_cb_person_default_on_file,outlier,cb_person_default_on_file,30,nb,0.8209,0.704,0.2988,0.4195
outlier_03_cb_person_default_on_file,outlier,cb_person_default_on_file,30,dt,0.8093,0.9187,0.1312,0.2297
outlier_03_cb_person_default_on_file,outlier,cb_person_default_on_file,30,svm,0.8152,0.7386,0.2269,0.3471
outlier_03_income_group,outlier,income_group,30,lda,0.9706,0.991,0.872,0.9277
outlier_03_income_group,outlier,income_group,30,lr,0.9619,0.968,0.8525,0.9066
outlier_03_income_group,outlier,income_group,30,et,0.9611,0.9073,0.9137,0.9105
outlier_03_income_group,outlier,income_group,30,rf,0.8658,0.7318,0.6001,0.6595
outlier_03_income_group,outlier,income_group,30,knn,0.8548,0.7469,0.4985,0.598
outlier_03_income_group,outlier,income_group,30,mlp,0.8506,0.6547,0.6562,0.6554
outlier_03_income_group,outlier,income_group,30,nb,0.82,0.7008,0.2949,0.4151
outlier_03_income_group,outlier,income_group,30,dt,0.8436,0.7386,0.4302,0.5437
outlier_03_income_group,outlier,income_group,30,svm,0.5851,0.3087,0.7388,0.4354
outlier_03_loan_amnt,outlier,loan_amnt,30,lda,0.97,0.9923,0.8681,0.926
outlier_03_loan_amnt,outlier,loan_amnt,30,lr,0.9712,0.9744,0.8905,0.9306
outlier_03_loan_amnt,outlier,loan_amnt,30,et,0.9569,0.9012,0.8997,0.9004
outlier_03_loan_amnt,outlier,loan_amnt,30,rf,0.8644,0.7291,0.5946,0.6551
outlier_03_loan_amnt,outlier,loan_amnt,30,knn,0.8515,0.7409,0.4836,0.5852
outlier_03_loan_amnt,outlier,loan_amnt,30,mlp,0.8524,0.6571,0.6662,0.6616
outlier_03_loan_amnt,outlier,loan_amnt,30,nb,0.8183,0.7146,0.2685,0.3903
outlier_03_loan_amnt,outlier,loan_amnt,30,dt,0.7964,0.5226,0.6922,0.5955
outlier_03_loan_amnt,outlier,loan_amnt,30,svm,0.7835,1.0,0.0002,0.0003
outlier_03_loan_amount_group,outlier,loan_amount_group,30,lda,0.9714,0.9911,0.8757,0.9298
outlier_03_loan_amount_group,outlier,loan_amount_group,30,lr,0.9643,0.969,0.8626,0.9127
outlier_03_loan_amount_group,outlier,loan_amount_group,30,et,0.9625,0.9085,0.9194,0.9139
outlier_03_loan_amount_group,outlier,loan_amount_group,30,rf,0.8656,0.7308,0.6009,0.6595
outlier_03_loan_amount_group,outlier,loan_amount_group,30,knn,0.8506,0.7375,0.4819,0.5829
outlier_03_loan_amount_group,outlier,loan_amount_group,30,mlp,0.8525,0.6534,0.679,0.6659
outlier_03_loan_amount_group,outlier,loan_amount_group,30,nb,0.821,0.7046,0.2985,0.4193
outlier_03_loan_amount_group,outlier,loan_amount_group,30,dt,0.7843,1.0,0.004,0.008
outlier_03_loan_amount_group,outlier,loan_amount_group,30,svm,0.5851,0.3087,0.7388,0.4354
outlier_03_loan_grade,outlier,loan_grade,30,lda,0.9684,0.9893,0.8636,0.9222
outlier_03_loan_grade,outlier,loan_grade,30,lr,0.9614,0.9665,0.8515,0.9054
outlier_03_loan_grade,outlier,loan_grade,30,et,0.9593,0.9025,0.9104,0.9064
outlier_03_loan_grade,outlier,loan_grade,30,rf,0.8651,0.7298,0.5988,0.6579
outlier_03_loan_grade,outlier,loan_grade,30,knn,0.8536,0.7363,0.5047,0.5989
outlier_03_loan_grade,outlier,loan_grade,30,mlp,0.8486,0.6426,0.6783,0.66
outlier_03_loan_grade,outlier,loan_grade,30,nb,0.8203,0.7051,0.293,0.4139
outlier_03_loan_grade,outlier,loan_grade,30,dt,0.8098,0.5565,0.5995,0.5772
outlier_03_loan_grade,outlier,loan_grade,30,svm,0.8051,0.7566,0.1479,0.2474
outlier_03_loan_int_rate,outlier,loan_int_rate,30,lda,0.9695,0.9908,0.8675,0.925
outlier_03_loan_int_rate,outlier,loan_int_rate,30,lr,0.9717,0.978,0.8896,0.9317
outlier_03_loan_int_rate,outlier,loan_int_rate,30,et,0.9536,0.8897,0.897,0.8933
outlier_03_loan_int_rate,outlier,loan_int_rate,30,rf,0.8661,0.7321,0.6022,0.6608
outlier_03_loan_int_rate,outlier,loan_int_rate,30,knn,0.8573,0.7557,0.5044,0.605
outlier_03_loan_int_rate,outlier,loan_int_rate,30,mlp,0.8529,0.6529,0.6853,0.6687
outlier_03_loan_int_rate,outlier,loan_int_rate,30,nb,0.7938,0.6862,0.0885,0.1568
outlier_03_loan_int_rate,outlier,loan_int_rate,30,dt,0.8317,0.6176,0.5851,0.6009
outlier_03_loan_int_rate,outlier,loan_int_rate,30,svm,0.7464,0.4338,0.5595,0.4887
outlier_03_loan_intent,outlier,loan_intent,30,lda,0.9708,0.99,0.8741,0.9284
outlier_03_loan_intent,outlier,loan_intent,30,lr,0.9635,0.965,0.8626,0.9109
outlier_03_loan_intent,outlier,loan_intent,30,et,0.9527,0.8784,0.9073,0.8926
outlier_03_loan_intent,outlier,loan_intent,30,rf,0.8659,0.7309,0.603,0.6608
outlier_03_loan_intent,outlier,loan_intent,30,knn,0.8508,0.7322,0.4906,0.5876
outlier_03_loan_intent,outlier,loan_intent,30,mlp,0.8544,0.6576,0.684,0.6705
outlier_03_loan_intent,outlier,loan_intent,30,nb,0.8203,0.7008,0.2972,0.4173
outlier_03_loan_intent,outlier,loan_intent,30,dt,0.8197,0.7529,0.2496,0.3749
outlier_03_loan_intent,outlier,loan_intent,30,svm,0.5851,0.3087,0.7388,0.4354
outlier_03_loan_percent_income,outlier,loan_percent_income,30,lda,0.9706,0.9889,0.8741,0.9279
outlier_03_loan_percent_income,outlier,loan_percent_income,30,lr,0.9711,0.9736,0.8908,0.9304
outlier_03_loan_percent_income,outlier,loan_percent_income,30,et,0.9468,0.8659,0.8926,0.8791
outlier_03_loan_percent_income,outlier,loan_percent_income,30,rf,0.8509,0.7371,0.4845,0.5847
outlier_03_loan_percent_income,outlier,loan_percent_income,30,knn,0.8395,0.6696,0.5116,0.58
outlier_03_loan_percent_income,outlier,loan_percent_income,30,mlp,0.837,0.6318,0.5927,0.6116
outlier_03_loan_percent_income,outlier,loan_percent_income,30,nb,0.8207,0.7034,0.2978,0.4184
outlier_03_loan_percent_income,outlier,loan_percent_income,30,dt,0.8508,0.6988,0.5466,0.6134
outlier_03_loan_percent_income,outlier,loan_percent_income,30,svm,0.3017,0.231,0.9552,0.3721
outlier_03_person_age,outlier,person_age,30,lda,0.971,0.9903,0.8747,0.9289
outlier_03_person_age,outlier,person_age,30,lr,0.9741,0.9776,0.9012,0.9378
outlier_03_person_age,outlier,person_age,30,et,0.9553,0.8981,0.8954,0.8967
outlier_03_person_age,outlier,person_age,30,rf,0.8658,0.7305,0.6024,0.6603
outlier_03_person_age,outlier,person_age,30,knn,0.853,0.7478,0.4847,0.5881
